No,ICAO,WMO,IATA,Stasiun,Lintang,Bujur,Ketinggian
98,WIDD,96087,BTH,Hang Nadim - Batam,"N 01°07'24""","E 104°06'53""",38
99,WIDM,,MWK,MATAK,"N 03°20'36""","E 106°15'68""",3
100,WIDN,96091,TNJ,Raja Haji Fisabilillah - Tanjung Pinang,"N 00°55'16""","E 104°31'51""",10
101,WIDO,96147,NTX,Ranai - Natuna,"N 03°54'43""","E 108°23'35""",2
102,WIDS,96179,SIQ,Dabo - Singkep,"S 00°28'42""","E 104°34'44""",28
103,WIDT,96089,TJB,Raja Haji Abdullah - Tanjung Balai Karimun,"N 01°03'09""","E 103°23'31""",1
104,WIEE,96163,PDG,Minangkabau International Airport - Padang,"S 00°47'18""","E 100°16'51""",9
105,WIET,,,LANUD Sutan Sjahrir,"S 00°52'08""","E 100°20'12""",0
106,WIGG,96253,BKS,Fatmawati Sukarno - Bengkulu,"S 03°51'51""","E 102°20'24""",22
107,WIGM,,MPC,Mukomuko,"S 02°32'32""","E 101°05'24""",5
108,WIHH,96747,HLP,Halim Perdana Kusuma - Jakarta,"S 06°16'03""","E 106°53'11""",28
109,WIHJ,96755,ATS,Atang Sendjaja - Bogor,"S 06°32'39""","E 106°45'11""",179
110,WIII,96749,CGK,Soekarno Hatta - Jakarta,"S 06°07'35""","E 106°39'14""",11
111,WIJI,96207,KRC,Depati Parbo - Kerinci,"S 02°05'38""","E 101°28'11""",791
112,WIJJ,96195,DJB,Sultan Thaha - Jambi,"S 01°38'10""","E 103°38'31""",27
113,WIKK,96237,PGK,Depati Amir - Pangkal Pinang,"S 02°09'47""","E 106°08'20""",33
114,WIKT,96249,TJQ,H.A.S. Hanandjoeddin - Tanjung Pandan,"S 02°45'14""","E 107°45'10""",50
115,WILL,96295,TKG,Radin Inten II - Lampung,"S 05°14'33""","E 105°10'33""",84
116,WILM,96273,AKQ,Astra Ksetra - Lampung,"S 04°36'00""","E 105°15'00""",21
117,WIMA,96009,LSW,Malikus Saleh - Lhokseumawe,"N 05°13'33""","E 096°56'55""",27
118,WIMB,96075,GNS,Binaka - Gunung Sitoli,"N 01°09'59""","E 097°42'16""",7
119,WIME,96071,AEG,Aek Godang - Padang Sidempuan,"N 01°23'58""","E 099°25'51""",286
120,WIMM,96035,KNO,Kualanamu International Airport - Deli Serdang,"N 03°38'25""","E 098°52'43""",7
121,WIMN,,DTB,Silangit - Tapanuli Utara,"N 02°15'31""","E 098°59'37""",1.416
122,WIMS,96073,SIX,Dr. Ferdinand Lumban Tobing - Pinangsori (Sibolga),"N 01°33'15""","E 098°53'26""",11
123,WIOG,96557,NPO,Nanga Pinoh,"S 00°20'55""","E 111°44'52""",38
124,WIOH,96535,,Paloh - Sambas,"N 01°44'05""","E 109°19'97""",8
125,WIOI,96533,,"Singkawang II - Sanggau Ledo, Kalbar",,,18
126,WIOK,96615,KTG,Rahadi Oesman - Ketapang,"S 01°48'57""","E 109°57'46""",5
127,WIOO,96581,PNK,Supadio - Pontianak,"S 00°08'56""","E 109°24'10""",3
128,WIOP,96565,PSU,Pangsuma - Putussibau,"N 00°50'08""","E 112°56'09""",91
129,WIOS,96559,SQG,Tebelian - Sintang,"N 00°03'49""","E 111°28'22""",28
130,WIPP,96221,PLM,Sultan Mahmud Badaruddin II - Palembang,"S 02°53'52""","E 104°42'03""",15
131,WIRR,96739,BTO,Budiarto - Curug,"S 06°17'27""","E 106°33'57""",42
132,WITC,96015,MEQ,"Cut Nyak Dien Nagan Raya - Meulaboh, NAD","N 04°02'42""","E 096°14'58""",6
133,WITN,96001,SBG,Maimun Saleh - Sabang,"N 05°52'36""","E 095°20'24""",110
134,WITT,96011,BTJ,Sultan Iskandar Muda - Banda Aceh,"N 05°31'12""","E 095°25'15""",23
